model,delta,accuracy,f1,auc,dpd,eod,roc_gap
gsq,-0.02,0.5059115630172618,0.667779632721202,0.6247198332897292,0.047169811320754707,0.06000000000000005,0.00029938976597595774
gsq,-0.01,0.5061480255379522,0.6675157207673327,0.6247198332897292,0.047169811320754707,0.06000000000000005,0.00030433222777701403
gsq,0.0,0.5068574131000236,0.667834673887075,0.6247198332897292,0.047169811320754707,0.06000000000000005,0.00030252424080366095
gsq,0.01,0.5083944194845117,0.6658093554090982,0.6247198332897292,0.06753519017669962,0.11475409836065575,0.00040536769489830113
gsq,0.02,0.5093402695672736,0.6660228553033961,0.6247198332897292,0.07696915244085056,0.11538461538461542,0.0004927011413664882
