model,delta,accuracy,f1,auc,dpd,eod,roc_gap
awq,-0.02,0.4943248995034287,0.6537122500202412,0.5867294090992277,0.11956521739130432,0.16000000000000003,0.0017406123053767585
awq,-0.01,0.4918420430361788,0.6507962300942477,0.5867294090992277,0.14130434782608692,0.18000000000000005,0.0018898080229296035
awq,0.0,0.4877039489240955,0.6467183041174073,0.5867294090992277,0.14130434782608692,0.19999999999999996,0.0019229710456358797
awq,0.01,0.49881768739654764,0.6501031778786628,0.5867294090992277,0.1765858873841768,0.24,0.0027975554650603173
awq,0.02,0.5017734689051785,0.6501162404516772,0.5867294090992277,0.1765858873841768,0.26,0.0036692662626633408
