model,delta,accuracy,f1,auc,dpd,eod,roc_gap
standard,-0.02,0.5,0.6666666666666666,0.5739528565639821,0.0,0.0,0.0
standard,-0.01,0.5,0.6666666666666666,0.5739528565639821,0.0,0.0,0.0
standard,0.0,0.5,0.6666666666666666,0.5739528565639821,0.0,0.0,0.0
standard,0.01,0.50248285646725,0.6659256906954589,0.5739528565639821,0.03516694033935419,0.06896551724137934,0.0002851743001919068
standard,0.02,0.5039016315913928,0.6661362189688097,0.5739528565639821,0.053287981859410416,0.12244897959183676,0.0005209118559820139
