model,delta,accuracy,f1,auc,dpd,eod,roc_gap
gsq,-0.02,0.506029794277607,0.6680965999364474,0.6247198332897292,0.0423728813559322,0.06000000000000005,0.00022003640170591452
gsq,-0.01,0.5062662567982975,0.6678332803054406,0.6247198332897292,0.0423728813559322,0.06000000000000005,0.00022484199958781585
gsq,0.0,0.5065027193189879,0.6678866963717377,0.6247198332897292,0.0423728813559322,0.06000000000000005,0.00023522853146209108
gsq,0.01,0.508512650744857,0.6662920446335394,0.6247198332897292,0.05687830687830686,0.11475409836065575,0.00047265762877643074
gsq,0.02,0.5095767320879641,0.6665058691107895,0.6247198332897292,0.06479076479076484,0.12727272727272732,0.0005730621457233844
