model,phase,n_samples,target_tpr,target_fpr,accuracy,f1,auc,dpd,eod
standard,after,8458,1.0,1.0,0.5,0.6666666666666666,0.5739528565639821,0.0,0.0
standard,before,8458,1.0,1.0,0.5,0.6666666666666666,0.5739528565639821,0.0,0.0
